EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on 13-08-2026
THESE DATA CAN BE USED FREELY PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED:

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE IS -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 TX   : maximum temperature in 0.1 &#176;C
30-34 Q_TX : Quality code for TX (0='valid'; 1='suspect'; 9='missing')

This is the series (SOUID: 111450) of GERMANY, BERLIN-TEMPELHOF (STAID: 2759)
See file sources.txt for more info.



 STAID, SOUID,    DATE,   TX, Q_TX
  2759,111450,20160108,   56,    0
  2759,111450,20160109,   40,    0
  2759,111450,20160110,   31,    0
  2759,111450,20160111,   33,    0
  2759,111450,20160112,   48,    0
  2759,111450,20160113,   43,    0
  2759,111450,20160114,   48,    0
  2759,111450,20160115,   12,    0
  2759,111450,20160116,    7,    0
  2759,111450,20160117,   -3,    0
  2759,111450,20160118,  -12,    0
  2759,111450,20160119,  -27,    0
  2759,111450,20160120,   -1,    0
  2759,111450,20160121,  -16,    0
  2759,111450,20160122,  -25,    0
  2759,111450,20160123,   38,    0
  2759,111450,20160124,   52,    0
  2759,111450,20160125,   98,    0
  2759,111450,20160126,  117,    0
  2759,111450,20160127,  119,    0
  2759,111450,20160128,  118,    0
  2759,111450,20160129,   88,    0
  2759,111450,20160130,   92,    0
  2759,111450,20160131,   61,    0
  2759,111450,20160201,  118,    0
  2759,111450,20160202,  121,    0
  2759,111450,20160203,   76,    0
  2759,111450,20160204,   44,    0
  2759,111450,20160205,   59,    0
  2759,111450,20160206,  115,    0
  2759,111450,20160207,  106,    0
  2759,111450,20160208,  113,    0
  2759,111450,20160209,  101,    0
  2759,111450,20160210,   79,    0
  2759,111450,20160211,   60,    0
  2759,111450,20160212,   67,    0
  2759,111450,20160213,   71,    0
  2759,111450,20160214,   47,    0
  2759,111450,20160215,   47,    0
  2759,111450,20160216,   16,    0
  2759,111450,20160217,   43,    0
  2759,111450,20160218,   59,    0
  2759,111450,20160219,   56,    0
  2759,111450,20160220,   55,    0
  2759,111450,20160221,  114,    0
  2759,111450,20160222,  114,    0
  2759,111450,20160223,   79,    0
  2759,111450,20160224,   59,    0
  2759,111450,20160225,   54,    0
  2759,111450,20160226,   53,    0
  2759,111450,20160227,   59,    0
  2759,111450,20160228,   65,    0
  2759,111450,20160229,   30,    0
  2759,111450,20160301,   60,    0
  2759,111450,20160302,   89,    0
  2759,111450,20160303,   78,    0
  2759,111450,20160304,   90,    0
  2759,111450,20160305,   87,    0
  2759,111450,20160306,   48,    0
  2759,111450,20160307,   67,    0
  2759,111450,20160308,   80,    0
  2759,111450,20160309,   89,    0
  2759,111450,20160310,   83,    0
  2759,111450,20160311,   52,    0
  2759,111450,20160312,   42,    0
  2759,111450,20160313,   30,    0
  2759,111450,20160314,   73,    0
  2759,111450,20160315,   59,    0
  2759,111450,20160316,   92,    0
  2759,111450,20160317,  127,    0
  2759,111450,20160318,   71,    0
  2759,111450,20160319,  102,    0
  2759,111450,20160320,   73,    0
  2759,111450,20160321,   83,    0
  2759,111450,20160322,   92,    0
  2759,111450,20160323,   70,    0
  2759,111450,20160324,   79,    0
  2759,111450,20160325,   85,    0
  2759,111450,20160326,  140,    0
  2759,111450,20160327,  161,    0
  2759,111450,20160328,  162,    0
  2759,111450,20160329,  111,    0
  2759,111450,20160330,  121,    0
  2759,111450,20160331,  108,    0
  2759,111450,20160401,  131,    0
  2759,111450,20160402,  164,    0
  2759,111450,20160403,  191,    0
  2759,111450,20160404,  206,    0
  2759,111450,20160405,  227,    0
  2759,111450,20160406,  158,    0
  2759,111450,20160407,  130,    0
  2759,111450,20160408,  143,    0
  2759,111450,20160409,  135,    0
  2759,111450,20160410,  101,    0
  2759,111450,20160411,  126,    0
  2759,111450,20160412,  144,    0
  2759,111450,20160413,  183,    0
  2759,111450,20160414,  118,    0
  2759,111450,20160415,  136,    0
  2759,111450,20160416,  146,    0
  2759,111450,20160417,  124,    0
  2759,111450,20160418,  133,    0
  2759,111450,20160419,  141,    0
  2759,111450,20160420,  132,    0
  2759,111450,20160421,  151,    0
  2759,111450,20160422,  140,    0
  2759,111450,20160423,  113,    0
  2759,111450,20160424,   97,    0
  2759,111450,20160425,  101,    0
  2759,111450,20160426,   97,    0
  2759,111450,20160427,   94,    0
  2759,111450,20160428,  103,    0
  2759,111450,20160429,  153,    0
  2759,111450,20160430,  186,    0
  2759,111450,20160501,  179,    0
  2759,111450,20160502,  188,    0
  2759,111450,20160503,  198,    0
  2759,111450,20160504,  144,    0
  2759,111450,20160505,  204,    0
  2759,111450,20160506,  236,    0
  2759,111450,20160507,  247,    0
  2759,111450,20160508,  242,    0
  2759,111450,20160509,  249,    0
  2759,111450,20160510,  248,    0
  2759,111450,20160511,  253,    0
  2759,111450,20160512,  245,    0
  2759,111450,20160513,  225,    0
  2759,111450,20160514,  150,    0
  2759,111450,20160515,  135,    0
  2759,111450,20160516,  150,    0
  2759,111450,20160517,  129,    0
  2759,111450,20160518,  206,    0
  2759,111450,20160519,  227,    0
  2759,111450,20160520,  234,    0
  2759,111450,20160521,  243,    0
  2759,111450,20160522,  294,    0
  2759,111450,20160523,  263,    0
  2759,111450,20160524,  202,    0
  2759,111450,20160525,  155,    0
  2759,111450,20160526,  160,    0
  2759,111450,20160527,  216,    0
  2759,111450,20160528,  239,    0
  2759,111450,20160529,  281,    0
  2759,111450,20160530,  274,    0
  2759,111450,20160531,  255,    0
  2759,111450,20160601,  228,    0
  2759,111450,20160602,  251,    0
  2759,111450,20160603,  258,    0
  2759,111450,20160604,  273,    0
  2759,111450,20160605,  276,    0
  2759,111450,20160606,  246,    0
  2759,111450,20160607,  269,    0
  2759,111450,20160608,  272,    0
  2759,111450,20160609,  230,    0
  2759,111450,20160610,  225,    0
  2759,111450,20160611,  228,    0
  2759,111450,20160612,  214,    0
  2759,111450,20160613,  172,    0
  2759,111450,20160614,  224,    0
  2759,111450,20160615,  196,    0
  2759,111450,20160616,  227,    0
  2759,111450,20160617,  199,    0
  2759,111450,20160618,  219,    0
  2759,111450,20160619,  220,    0
  2759,111450,20160620,  240,    0
  2759,111450,20160621,  241,    0
  2759,111450,20160622,  271,    0
  2759,111450,20160623,  322,    0
  2759,111450,20160624,  351,    0
  2759,111450,20160625,  342,    0
  2759,111450,20160626,  243,    0
  2759,111450,20160627,  251,    0
  2759,111450,20160628,  241,    0
  2759,111450,20160629,  259,    0
  2759,111450,20160630,  259,    0
  2759,111450,20160701,  283,    0
  2759,111450,20160702,  257,    0
  2759,111450,20160703,  230,    0
  2759,111450,20160704,  244,    0
  2759,111450,20160705,  254,    0
  2759,111450,20160706,  211,    0
  2759,111450,20160707,  227,    0
  2759,111450,20160708,  273,    0
  2759,111450,20160709,  241,    0
  2759,111450,20160710,  317,    0
  2759,111450,20160711,  293,    0
  2759,111450,20160712,  269,    0
  2759,111450,20160713,  225,    0
  2759,111450,20160714,  179,    0
  2759,111450,20160715,  186,    0
  2759,111450,20160716,  258,    0
  2759,111450,20160717,  231,    0
  2759,111450,20160718,  219,    0
  2759,111450,20160719,  252,    0
  2759,111450,20160720,  280,    0
  2759,111450,20160721,  286,    0
